73 獅子舞ビースト adult happy: dims=[(601, 755), (625, 771), (652, 779), (631, 763)] edges(L,T,R,B)=[(1, 232, 85, 191, 184), (2, 224, 68, 175, 185), (3, 214, 54, 158, 191), (4, 214, 75, 179, 186)]
73 獅子舞ビースト adult walk: dims=[(522, 625), (538, 625), (571, 625), (573, 625)] edges(L,T,R,B)=[(1, 251, 240, 251, 159), (2, 243, 240, 243, 159), (3, 226, 240, 227, 159), (4, 225, 240, 226, 159)]
74 お面ビースト adult happy: dims=[(524, 755), (504, 771), (526, 779), (499, 763)] edges(L,T,R,B)=[(1, 271, 84, 229, 185), (2, 285, 68, 235, 185), (3, 277, 59, 221, 186), (4, 280, 75, 245, 186)]
74 お面ビースト adult walk: dims=[(480, 625), (480, 625), (485, 625), (517, 625)] edges(L,T,R,B)=[(1, 272, 240, 272, 159), (2, 272, 240, 272, 159), (3, 269, 240, 270, 159), (4, 253, 240, 254, 159)]
75 祭り雷神 final happy: dims=[(570, 755), (519, 771), (535, 779), (523, 763)] edges(L,T,R,B)=[(1, 248, 86, 206, 183), (2, 277, 70, 228, 183), (3, 272, 63, 217, 182), (4, 268, 79, 233, 182)]
75 祭り雷神 final walk: dims=[(560, 625), (553, 625), (534, 625), (528, 625)] edges(L,T,R,B)=[(1, 232, 240, 232, 159), (2, 235, 240, 236, 159), (3, 245, 240, 245, 159), (4, 248, 240, 248, 159)]
76 盆踊りマスター final happy: dims=[(490, 755), (499, 771), (482, 779), (602, 763)] edges(L,T,R,B)=[(1, 288, 84, 246, 185), (2, 287, 72, 238, 181), (3, 299, 62, 243, 183), (4, 229, 76, 193, 185)]
76 盆踊りマスター final walk: dims=[(436, 625), (336, 625), (520, 625), (452, 625)] edges(L,T,R,B)=[(1, 294, 240, 294, 159), (2, 344, 240, 344, 159), (3, 252, 240, 252, 159), (4, 286, 240, 286, 159)]
77 花火ノカミ final happy: dims=[(496, 755), (502, 771), (460, 779), (450, 763)] edges(L,T,R,B)=[(1, 285, 88, 243, 181), (2, 286, 71, 236, 182), (3, 310, 64, 254, 181), (4, 305, 80, 269, 181)]
77 花火ノカミ final walk: dims=[(474, 625), (455, 625), (429, 625), (362, 625)] edges(L,T,R,B)=[(1, 275, 240, 275, 159), (2, 284, 240, 285, 159), (3, 297, 240, 298, 159), (4, 331, 240, 331, 159)]
78 神輿ノオウ final happy: dims=[(707, 755), (738, 771), (766, 779), (687, 763)] edges(L,T,R,B)=[(1, 179, 87, 138, 182), (2, 168, 69, 118, 184), (3, 157, 51, 101, 194), (4, 186, 79, 151, 182)]
78 神輿ノオウ final walk: dims=[(648, 625), (616, 625), (614, 625), (601, 625)] edges(L,T,R,B)=[(1, 188, 240, 188, 159), (2, 204, 240, 204, 159), (3, 205, 240, 205, 159), (4, 211, 240, 212, 159)]
