domain,path_template,entity_type,field_key,field_type,required,example,purpose,notes
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,quantity,number,yes,1,購入数量,通常は 1 固定
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,grantedPaidCoins,number,yes,50,付与した有料コイン数,付与漏れ/重複防止用
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,grantedItemIds,array<string>,no,"[spring_frame_01]",購入で同時付与したアイテム,コインパックのみなら空配列
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,currency,string,yes,JPY,課金通貨,日本円を想定
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,amountTotalMinor,number,yes,120,決済金額の最小単位,JPY なら円表記のままでも運用可
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,stripePaymentLinkId,string,no,plink_123,Stripe Payment Link ID,Web課金時のみ保存
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,stripeCheckoutSessionId,string,no,cs_test_123,Stripe Checkout Session ID,重複反映防止の主キー候補
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,idempotencyKey,string,no,web_plink_20260329_001,付与重複防止キー,Webhook導入時に必須
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,purchasedAt,timestamp,yes,2026-03-29T10:15:00Z,購入成立時刻,Stripe 完了時刻を保存
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,fulfilledAt,timestamp,no,2026-03-29T10:15:02Z,コイン付与完了時刻,購入と付与の差分追跡用
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,createdAt,timestamp,yes,2026-03-29T10:15:00Z,作成日時,ドキュメント生成時に設定
purchaseHistory,users/{uid}/purchaseHistory/{purchaseId},document,updatedAt,timestamp,yes,2026-03-29T10:15:02Z,更新日時,状態変更時に更新
rules,users/{uid}/wallet/summary,policy,access,string,yes,owner_only,読み書き権限,本人のみ read/write
rules,users/{uid}/inventory/profile,policy,access,string,yes,owner_only,読み書き権限,本人のみ read/write
rules,users/{uid}/purchaseHistory/{purchaseId},policy,access,string,yes,owner_read_server_write,読み書き権限,本人 read のみ / write は webhook 経由推奨
migration,users/{uid}/game/state,policy,source,string,yes,legacy_game_state,既存データ元,現在の game/state を維持しつつ段階移行
migration,users/{uid}/wallet/summary,policy,phase,string,yes,phase_1_split,導入フェーズ,freeCoins を gameState と二重管理しない切替時に使用
migration,users/{uid}/inventory/profile,policy,phase,string,yes,phase_1_split,導入フェーズ,背景/フレームを gameState から移行する時の目印
