今回追加分,asset_id,current_path,category,screen,usage,recommended_w,recommended_h,,format,priority,notes,プロンプト
,panel_title_wood_long_01,/img/ui_frame/panel_title_02.png,ui_frame,all,横長タイトル帯,1536,450,1536*450,png,medium,長文タイトルやサブ見出し用,横長タイトル帯の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1536*450で長文タイトルやサブ見出し用の雰囲気でお願いします
,frame_window_01,/img/ui_frame/frame_card_01.png,ui_frame,home|tasks|dex|settings|letters,情報ウィンドウ枠,960,640,960*640,png,high,SFC/GBA風の会話ウィンドウ・メニュー枠,情報ウィンドウ枠の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは960*640でSFC/GBA風の会話ウィンドウ・メニュー枠の雰囲気でお願いします
,frame_progress_01,/img/ui_frame/ui_progress_frame_01.png,ui_frame,home,EXPバー枠,720,120,720*120,png,medium,数値とバーが見やすいピクセル枠,EXPバー枠の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは720*120で数値とバーが見やすいピクセル枠の雰囲気でお願いします
,frame_attr_power_01,/img/ui_frame/ui_attr_bar_frame_06.png,ui_frame,home,Power属性バー枠,1510,150,1510*150,png,medium,4属性のフレームトーンを揃える,Power属性バー枠の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1510*150で4属性のフレームトーンを揃えるの雰囲気でお願いします
,frame_attr_heal_01,/img/ui_frame/ui_attr_bar_frame_07.png,ui_frame,home,Heal属性バー枠,1510,150,1510*150,png,medium,4属性のフレームトーンを揃える,Heal属性バー枠の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1510*150で4属性のフレームトーンを揃えるの雰囲気でお願いします。バー部分は空の状態でお願いします
,frame_attr_knowledge_01,/img/ui_frame/ui_attr_bar_frame_08.png,ui_frame,home,Knowledge属性バー枠,1510,150,1510*150,png,medium,4属性のフレームトーンを揃える,Knowledge属性バー枠の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1510*150で4属性のフレームトーンを揃えるの雰囲気でお願いします。バー部分は空の状態でお願いします
,frame_attr_create_01,/img/ui_frame/ui_attr_bar_frame_09.png,ui_frame,home,Create属性バー枠,1510,150,1510*150,png,medium,4属性のフレームトーンを揃える,Create属性バー枠の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1510*150で4属性のフレームトーンを揃えるの雰囲気でお願いします。バー部分は空の状態でお願いします
,btn_primary_rpg_01,/img/button/button_bluestart.png,button,all,主要アクションボタン,360,120,360*120,png,high,開始・NEXT・決定など共通利用,主要アクションボタンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは360*120で開始・NEXT・決定など共通利用の雰囲気でお願いします
,btn_secondary_rpg_01,/img/button/btn_secondary_02.png,button,all,戻る・設定用サブボタン,360,120,360*120,png,high,主要ボタンと同系統で色違い推奨,戻る・設定用サブボタンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは360*120で主要ボタンと同系統で色違い推奨の雰囲気でお願いします
,btn_secondary_rpg_02,/img/button/btn_secondary_03.png,button,settings|task-settings,補助操作ボタン,360,120,360*120,png,medium,削除や別導線など用途分け用,補助操作ボタンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは360*120で削除や別導線など用途分け用の雰囲気でお願いします
,tab_home_01,/img/tab/tab_icon_home_01.png,tab,all(下タブ),ホームアイコン,140,140,140*140,png,high,4タブの線幅と彩度を統一,ホームアイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは140*140で4タブの線幅と彩度を統一の雰囲気でお願いします
,tab_tasks_01,/img/tab/tab_icon_tasks_01.png,tab,all(下タブ),タスクアイコン,140,140,140*140,png,high,4タブの線幅と彩度を統一,タスクアイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは140*140で4タブの線幅と彩度を統一の雰囲気でお願いします
,tab_dex_01,/img/tab/tab_icon_dex_01.png,tab,all(下タブ),図鑑アイコン,140,140,140*140,png,high,4タブの線幅と彩度を統一,図鑑アイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは140*140で4タブの線幅と彩度を統一の雰囲気でお願いします
,tab_settings_01,/img/tab/tab_icon_settings_01.png,tab,all(下タブ),設定アイコン,140,140,140*140,png,high,4タブの線幅と彩度を統一,設定アイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは140*140で4タブの線幅と彩度を統一の雰囲気でお願いします
,icon_attr_power_01,/img/icon/icon_power_01.png,icon,home|tasks,Power属性アイコン,160,160,160*160,png,high,4属性で同じタッチに統一,Power属性アイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは160*160で4属性で同じタッチに統一の雰囲気でお願いします
,icon_attr_heal_01,/img/icon/icon_heal_01.png,icon,home|tasks,Heal属性アイコン,160,160,160*160,png,high,4属性で同じタッチに統一,Heal属性アイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは160*160で4属性で同じタッチに統一の雰囲気でお願いします
,icon_attr_knowledge_01,/img/icon/icon_knowledge_01.png,icon,home|tasks,Knowledge属性アイコン,160,160,160*160,png,high,4属性で同じタッチに統一,Knowledge属性アイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは160*160で4属性で同じタッチに統一の雰囲気でお願いします
,icon_attr_create_01,/img/icon/icon_create_01.png,icon,home|tasks,Create属性アイコン,160,160,160*160,png,high,4属性で同じタッチに統一,Create属性アイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは160*160で4属性で同じタッチに統一の雰囲気でお願いします
,icon_quest_task_01,/img/icon/icon_egg_01.png,icon,home|tasks,クエスト行頭アイコン,160,160,160*160,png,medium,タスク,クエスト行頭アイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは160*160でタスクの雰囲気でお願いします
,icon_quest_reward_01,/img/icon/icon_quest_reward_01.png,icon,home|tasks,クエスト行頭アイコン,160,160,160*160,png,medium,勲章の物品,クエスト行頭アイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは160*160で勲章の物品の雰囲気でお願いします
,icon_quest_reward_02,/img/icon/icon_quest_reward_01.png,icon,home|tasks,クエスト行頭アイコン,160,160,160*160,png,medium,勲章バッチ,クエスト行頭アイコンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは160*160で勲章バッチの雰囲気でお願いします
,monster_egg_01,/img/monster/1_egg.png,monster,tutorial-egg|birth-event|home|dex_detail,卵本体,1024,1024,1024*1024,png,high,全イベントの基準になるので最優先,卵本体の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024で全イベントの基準になるので最優先の雰囲気でお願いします
,monster_baby_heal_01,/img/monster/2_pinkslime.png,monster,home|dex|events,ピンクスライム,1024,1024,1024*1024,png,high,baby群は同じ縮尺と影で統一,ピンクスライムの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でbaby群は同じ縮尺と影で統一の雰囲気でお願いします
,monster_baby_power_01,/img/monster/3_blueslime.png,monster,home|dex|events,ブルースライム,1024,1024,1024*1024,png,high,baby群は同じ縮尺と影で統一,ブルースライムの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でbaby群は同じ縮尺と影で統一の雰囲気でお願いします
,monster_baby_knowledge_01,/img/monster/4_greenslime.png,monster,home|dex|events,グリーンスライム,1024,1024,1024*1024,png,high,baby群は同じ縮尺と影で統一,グリーンスライムの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でbaby群は同じ縮尺と影で統一の雰囲気でお願いします
,monster_baby_create_01,/img/monster/5_purpleslime.png,monster,home|dex|events,パープルスライム,1024,1024,1024*1024,png,high,baby群は同じ縮尺と影で統一,パープルスライムの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でbaby群は同じ縮尺と影で統一の雰囲気でお願いします
,monster_child_set_01,,monster,home|dex|events,ミニフェアリー,1024,1024,1024*1024,png,medium,6-9番を同一タッチで揃える,child段階モンスターのミニフェアリーの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024で6-9番を同一タッチで揃えるの雰囲気でお願いします
,monster_child_set_02,,monster,home|dex|events,プチドラ,1024,1024,1024*1024,png,medium,6-9番を同一タッチで揃える,child段階モンスターのプチドラの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024で6-9番を同一タッチで揃えるの雰囲気でお願いします
,monster_child_set_03,,monster,home|dex|events,プチビースト,1024,1024,1024*1024,png,medium,6-9番を同一タッチで揃える,child段階モンスターのプチビーストの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024で6-9番を同一タッチで揃えるの雰囲気でお願いします
,monster_child_set_04,,monster,home|dex|events,ミニスピリット,1024,1024,1024*1024,png,medium,adult段階モンスターは同一タッチで揃える,child段階モンスターのミニスピリットの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でadult段階モンスターは同一タッチで揃えるの雰囲気でお願いします
,monster_adult_set_01,,monster,home|dex|events,アークフェアリー,1024,1024,1024*1024,png,medium,adult段階モンスターは同一タッチで揃える,adult段階モンスターのアークフェアリーの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でadult段階モンスターは同一タッチで揃えるの雰囲気でお願いします
,monster_adult_set_02,,monster,home|dex|events,ドラゴン,1024,1024,1024*1024,png,medium,adult段階モンスターは同一タッチで揃える,adult段階モンスターのドラゴンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でadult段階モンスターは同一タッチで揃えるの雰囲気でお願いします
,monster_adult_set_03,,monster,home|dex|events,ウィザードビースト,1024,1024,1024*1024,png,medium,adult段階モンスターは同一タッチで揃える,adult段階モンスターのウィザードビーストの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でadult段階モンスターは同一タッチで揃えるの雰囲気でお願いします
,monster_adult_set_04,,monster,home|dex|events,アートゴーレム,1024,1024,1024*1024,png,medium,adult段階モンスターは同一タッチで揃える,adult段階モンスターのアートゴーレムの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でadult段階モンスターは同一タッチで揃えるの雰囲気でお願いします
,monster_final_set_01,,monster,home|dex|events,セラフィム,1024,1024,1024*1024,png,medium,final段階モンスターは同一タッチで揃える,final段階モンスターのセラフィムの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でfinal段階モンスターは同一タッチで揃えるの雰囲気でお願いします
,monster_final_set_02,,monster,home|dex|end-event,アークドラゴン,1024,1024,1024*1024,png,medium,final段階モンスターは同一タッチで揃える,final段階モンスターのアークドラゴンの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でfinal段階モンスターは同一タッチで揃えるの雰囲気でお願いします
,monster_final_set_03,,monster,home|dex|events,アークメイジ,1024,1024,1024*1024,png,medium,final段階モンスターは同一タッチで揃える,final段階モンスターのアークメイジの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でfinal段階モンスターは同一タッチで揃えるの雰囲気でお願いします
,monster_final_set_04,,monster,home|dex|end-event,クリエイター,1024,1024,1024*1024,png,medium,final段階モンスターは同一タッチで揃える,final段階モンスターのクリエイターの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは1024*1024でfinal段階モンスターは同一タッチで揃えるの雰囲気でお願いします
,badge_stage_egg_01,/img/badge/stage_badge_egg.png,badge,home|dex_detail,成長段階バッジ egg,320,220,320*220,png,medium,5段階で意匠統一,"成長段階はegg,baby,child,adult,finalがありますが、成長段階バッジ eggの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは320*220で5段階で意匠統一の雰囲気でお願いします"
,badge_stage_baby_01,/img/badge/stage_badge_baby.png,badge,home|dex_detail,成長段階バッジ baby,320,220,320*220,png,medium,5段階で意匠統一,"成長段階はegg,baby,child,adult,finalがありますが、成長段階バッジ babyの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは320*220で5段階で意匠統一の雰囲気でお願いします"
,badge_stage_child_01,/img/badge/stage_badge_child.png,badge,home|dex_detail,成長段階バッジ child,320,220,320*220,png,medium,5段階で意匠統一,"成長段階はegg,baby,child,adult,finalがありますが、成長段階バッジ childの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは320*220で5段階で意匠統一の雰囲気でお願いします"
,badge_stage_adult_01,/img/badge/stage_badge_adult.png,badge,home|dex_detail,成長段階バッジ adult,320,220,320*220,png,medium,5段階で意匠統一,"成長段階はegg,baby,child,adult,finalがありますが、成長段階バッジ adultの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは320*220で5段階で意匠統一の雰囲気でお願いします"
,badge_stage_final_01,/img/badge/stage_badge_final.png,badge,home|dex_detail,成長段階バッジ final,320,220,320*220,png,medium,5段階で意匠統一,"成長段階はegg,baby,child,adult,finalがありますが、成長段階バッジ finalの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは320*220で5段階で意匠統一の雰囲気でお願いします"
,badge_rarity_set_01,/img/badge/rarity_badge_common.png ほか,badge,dex|dex_detail,レアリティバッジ「common」,460,120,460*120,png,medium,common,レアリティバッジ「common」の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは460*120でcommonの雰囲気でお願いします
,badge_rarity_set_02,,badge,dex|dex_detail,レアリティバッジ「normal」,460,120,460*120,png,medium,normal,レアリティバッジ「normal」の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは460*120でnormalの雰囲気でお願いします
,badge_rarity_set_03,,badge,dex|dex_detail,レアリティバッジ「rare」,460,120,460*120,png,medium,rare,レアリティバッジ「rare」の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは460*120でrareの雰囲気でお願いします
,badge_rarity_set_04,,badge,dex|dex_detail,レアリティバッジ「ultra」,460,120,460*120,png,medium,ultra,レアリティバッジ「ultra」の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは460*120でultraの雰囲気でお願いします
,fx_smoke_01,/img/effect/effect_smoke_01.png,effect,birth-event|evolution|end-event,煙エフェクト,512,512,512*512,png,high,透過で使いやすい発光寄りの煙,煙エフェクトの画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは512*512で透過で使いやすい発光寄りの煙の雰囲気でお願いします
,fx_star_set_01,/img/effect/effect_star_01.png ほか,effect,evolution|tasks|birth-event,星エフェクト4種,256,256,256*256,png,medium,光り方を同系統に揃える,星エフェクト4種の画像の作成をお願いします。GBA風のピクセルアート、1ピクセル単位の輪郭が見えるはっきりしたドット絵、少ない色数、硬めの陰影、記号的で読みやすい形、現代イラスト風ではなくSFC時代のヨッシーアイランドの素材のような完成度でサイズは256*256で光り方を同系統に揃えるの雰囲気でお願いします
