item_id,section,item_type,display_name,short_description,price_monta_coins,price_free_coins,currency_type,availability,rarity,is_paid_only,is_consumable,grant_type,grant_value,asset_id,current_path,recommended_w,recommended_h,format,priority,notes
paid_charm_heal_01,evergreen,charm,いやしのおまもり+,次の10タスクは Heal だけが伸びる、モンタコイン用の特別なおまもりです。,300,0,paid_coin,always,rare,yes,yes,attribute_charm,heal:10,icon_charm_heal_01,/img/item/charm/icon_charm_heal_01.png,512,512,png,high,無料版と区別するためアイコンは専用色・専用装飾にする
paid_charm_knowledge_01,evergreen,charm,ちえのおまもり+,次の10タスクは Knowledge だけが伸びる、モンタコイン用の特別なおまもりです。,300,0,paid_coin,always,rare,yes,yes,attribute_charm,knowledge:10,icon_charm_knowledge_01,/img/item/charm/icon_charm_knowledge_01.png,512,512,png,high,無料版より使用回数を増やした有料版の仮案
paid_charm_create_01,evergreen,charm,ひらめきのおまもり+,次の10タスクは Create だけが伸びる、モンタコイン用の特別なおまもりです。,300,0,paid_coin,always,rare,yes,yes,attribute_charm,create:10,icon_charm_create_01,/img/item/charm/icon_charm_create_01.png,512,512,png,high,無料版と同じ系統だが有料は演出や輪郭を豪華にすると差別化しやすい
paid_frame_starlight_01,evergreen,frame,星灯りフレーム,星と青い光の通年販売フレーム,400,0,paid_coin,always,rare,yes,no,frame,paid_frame_starlight_01,frame_starlight_01,/img/deco_frame/frame_starlight_01.png,960,640,png,medium,春以外の有料ショップ常設品。既存 sky_crystal と被りすぎないよう濃紺寄り
paid_bg_library_magic_01,evergreen,background,まほう書庫の背景,図鑑好き向けの静かな魔法書庫背景,0,500,free_coin,always,rare,no,no,background,paid_bg_library_magic_01,bg_library_magic_01,/img/background/bg_library_magic_01.png,1440,2560,png,medium,常設背景。図鑑背景との世界観に寄せる
paid_bundle_spring_starter_01,spring_event,bundle,春イベントスターターセット,500モンタコイン+春の芽吹きたまご+EXPブースト 24時間,500,0,jpy,event_limited,ultra,yes,yes,bundle,paid_coin:500|spring_egg_01|paid_boost_exp_20_24h_01,bundle_spring_starter_01,/img/icon/icon_bundle_spring_starter_01.png,1024,1024,png,high,Stripe Checkoutの決済商品。購入後にモンタコイン500とイベント卵、24時間ブーストを自動付与
paid_bundle_spring_deco_01,spring_event,bundle,春のかざりセット,ピクニックバスケット+花灯りランタン+春の芽吹きたまご,500,0,paid_coin,event_limited,rare,yes,yes,bundle,deco_picnic_basket_01|deco_flower_lantern_01|spring_egg_01,bundle_spring_deco_01,/img/icon/icon_bundle_spring_deco_01.png,1024,1024,png,medium,イベントショップのモンタコイン交換セット
home_night,evergreen,background,星夜の草原,夜の雰囲気が楽しめるホーム背景です。,0,500,free_coin,always,normal,no,no,background,home_night,bg_home_night_01,/img/background/bg_home_night_01.png,1440,2560,png,medium,常設の無料コイン背景
main_field,evergreen,background,冒険のフィールド,少し広い世界を感じられるホーム背景です。,0,500,free_coin,always,normal,no,no,background,main_field,bg_main_field_01,/img/background/bg_main_field_01.png,1440,2560,png,medium,常設の無料コイン背景
classic_gold,evergreen,frame,クラシックフレーム,いまの雰囲気をそのまま楽しめる基本フレームです。,0,0,free_coin,always,normal,no,no,frame,classic_gold,,960,640,png,medium,初期所持の基本フレーム
sky_crystal,evergreen,frame,スカイクリスタル,青みのある光で、すっきりした印象に変わるフレームです。,0,300,free_coin,always,normal,no,no,frame,sky_crystal,,960,640,png,medium,常設の無料コインフレーム
rose_charm,evergreen,frame,ローズチャーム,やさしいピンク系で、少し華やかな雰囲気になるフレームです。,0,300,free_coin,always,normal,no,no,frame,rose_charm,,960,640,png,medium,常設の無料コインフレーム
paid_coin_pack_small,coin_pack,coin_pack,モンタコイン 120枚,まず試しやすいいちばん小さなモンタコインパックです。,100,0,jpy,always,normal,no,no,paid_coin,120,icon_paid_coin_pack_01,/img/icon/icon_paid_coin_pack_01.png,512,512,png,high,Stripe Checkoutで販売
paid_coin_pack_medium,coin_pack,coin_pack,モンタコイン 380枚,少し遊びやすい中サイズのモンタコインパックです。,300,0,jpy,always,normal,no,no,paid_coin,380,icon_paid_coin_pack_01,/img/icon/icon_paid_coin_pack_01.png,512,512,png,high,Stripe Checkoutで販売
paid_coin_pack_large,coin_pack,coin_pack,モンタコイン 700枚,しっかり使いたい方向けのモンタコインパックです。,600,0,jpy,always,rare,no,no,paid_coin,700,icon_paid_coin_pack_01,/img/icon/icon_paid_coin_pack_01.png,512,512,png,high,Stripe Checkoutで販売
paid_coin_pack_xlarge,coin_pack,coin_pack,モンタコイン 1600枚,一番お得に使える大容量モンタコインパックです。,1000,0,jpy,always,rare,no,no,paid_coin,1600,icon_paid_coin_pack_01,/img/icon/icon_paid_coin_pack_01.png,512,512,png,high,Stripe Checkoutで販売
home_morning,evergreen,background,はじまりの草原,ホームで使える基本背景です。,0,0,free_coin,always,normal,no,no,background,home_morning,bg_home_morning_01,/img/background/bg_home_morning_01.png,1440,2560,png,medium,初期所持の基本背景
